name	smiles	ingredient
3-hydroxy-2-imino-6-piperidin-1-ylpyrimidin-4-amine	C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O	MINOXIDIL
(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5S)-5-cyclopropyl-5-hydroxypent-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol	CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C	CALCIPOTRIENE
(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one	CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C	DESONIDE
(1S,2S,4R,8S,9S,11S,12S,13R,19S)-19-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one	CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C	FLUNISOLIDE
4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	ALBUTEROL
4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol;sulfuric acid	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O	ALBUTEROL SULFATE
5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,3-diol;sulfuric acid	CC(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)NCC(C1=CC(=CC(=C1)O)O)O.OS(=O)(=O)O	METAPROTERENOL SULFATE
[2-[(1S,2S,4R,6R,8S,9S,11S,12S,13R)-6-cyclohexyl-11-hydroxy-9,13-dimethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] 2-methylpropanoate	CC(C)C(=O)OCC(=O)C12C(CC3C1(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)OC(O2)C6CCCCC6	CICLESONIDE
[(8S,9R,10S,11S,13S,14S,16R,17R)-9-chloro-17-(2-chloroacetyl)-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] furan-2-carboxylate	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C	MOMETASONE FUROATE
[(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate;sulfuric acid	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.OS(=O)(=O)O	ATROPINE SULFATE
[(1S,5R)-8-methyl-8-propan-2-yl-8-azoniabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate;bromide	CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-]	IPRATROPIUM BROMIDE
(1S,2S,4R,8S,9S,11S,12R,13S)-12-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one	CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C	TRIAMCINOLONE ACETONIDE
[2-[(8S,9R,10S,11S,13S,14S,16S,17R)-9-chloro-11-hydroxy-10,13,16-trimethyl-3-oxo-17-propanoyloxy-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] propanoate	CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC	BECLOMETHASONE DIPROPIONATE
5-[2-(tert-butylamino)-1-hydroxyethyl]benzene-1,3-diol;sulfuric acid	CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O.OS(=O)(=O)O	TERBUTALINE SULFATE
sodium;chloride	[Na+].[Cl-]	SODIUM CHLORIDE
(2R,3R)-2,3-dihydroxybutanedioic acid;4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol	CNCC(C1=CC(=C(C=C1)O)O)O.C(C(C(=O)O)O)(C(=O)O)O	EPINEPHRINE BITARTRATE
4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol	CNCC(C1=CC(=C(C=C1)O)O)O	EPINEPHRINE
4-[1-hydroxy-2-(propan-2-ylamino)butyl]benzene-1,2-diol;methanesulfonic acid	CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C.CS(=O)(=O)O	ISOETHARINE MESYLATE
disodium;[2-[(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] phosphate	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+]	DEXAMETHASONE SODIUM PHOSPHATE
[(6S,8S,9R,10S,11S,13S,14S,16R,17R)-6,9-difluoro-17-(fluoromethylsulfanylcarbonyl)-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate	CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF	FLUTICASONE PROPIONATE
disodium;5-[3-(2-carboxylato-4-oxochromen-5-yl)oxy-2-hydroxypropoxy]-4-oxochromene-2-carboxylate	C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-].[Na+].[Na+]	CROMOLYN SODIUM
4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol;hydrochloride	CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl	ISOPROTERENOL HYDROCHLORIDE
acetic acid;6-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)pyridin-3-ol	CC(=O)O.CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O	PIRBUTEROL ACETATE
(6aR,9R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide;(2R,3R)-2,3-dihydroxybutanedioic acid	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C.CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C.C(C(C(=O)O)O)(C(=O)O)O	ERGOTAMINE TARTRATE
4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol;sulfuric acid	CC(C)NCC(C1=CC(=C(C=C1)O)O)O.CC(C)NCC(C1=CC(=C(C=C1)O)O)O.OS(=O)(=O)O	ISOPROTERENOL SULFATE
2-(hydroxymethyl)-4-[1-hydroxy-2-[6-(4-phenylbutoxy)hexylamino]ethyl]phenol;1-hydroxynaphthalene-2-carboxylic acid	C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O.C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O	SALMETEROL XINAFOATE
disodium;9-ethyl-4,6-dioxo-10-propylpyrano[3,2-g]quinoline-2,8-dicarboxylate	CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)[O-])C(=O)C=C(N2CC)C(=O)[O-].[Na+].[Na+]	NEDOCROMIL SODIUM
[4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(4-methylbenzoyl)oxyphenyl] 4-methylbenzoate;methanesulfonic acid	CC1=CC=C(C=C1)C(=O)OC2=C(C=C(C=C2)C(CNC(C)(C)C)O)OC(=O)C3=CC=C(C=C3)C.CS(=O)(=O)O	BITOLTEROL MESYLATE
4-[(1R)-2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol;(2R,3R)-2,3-dihydroxybutanedioic acid	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.C(C(C(=O)O)O)(C(=O)O)O	LEVALBUTEROL TARTRATE
[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate	CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O	HYDROCORTISONE ACETATE
1,3-dinitrooxypropan-2-yl nitrate	C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]	NITROGLYCERIN
(1E)-2-[6-[[amino-[(E)-[amino-(4-chloroanilino)methylidene]amino]methylidene]amino]hexyl]-1-[amino-(4-chloroanilino)methylidene]guanidine;(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.C(C(C(C(C(C(=O)O)O)O)O)O)O.C(C(C(C(C(C(=O)O)O)O)O)O)O	CHLORHEXIDINE GLUCONATE
trimagnesium;dioxido(oxo)silane;hydroxy-oxido-oxosilane	O[Si](=O)[O-].O[Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Mg+2].[Mg+2].[Mg+2]	TALC
2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C	LIDOCAINE
(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C	DEXAMETHASONE
(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O	HYDROCORTISONE
3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol	C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl	HEXACHLOROPHENE
2-[2-[2-[2-[2-[2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol	CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO	NONOXYNOL-9
azane;2-methylbutane;trimethyl-[[4-(5-phenylhexan-3-yl)phenyl]methyl]azanium;chloride	CCC(C)C.CCC(CC(C)C1=CC=CC=C1)C2=CC=C(C=C2)C[N+](C)(C)C.N.[Cl-]	CHOLESTYRAMINE
2-(chloromethyl)oxirane;hydron;prop-2-en-1-amine;N-prop-2-enyldecan-1-amine;trimethyl-[6-(prop-2-enylamino)hexyl]azanium;dichloride	[H+].CCCCCCCCCCNCC=C.C[N+](C)(C)CCCCCCNCC=C.C=CCN.C1C(O1)CCl.[Cl-].[Cl-]	COLESEVELAM HYDROCHLORIDE
(4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide;ethanol;hydrate;dihydrochloride	CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl.Cl	DOXYCYCLINE HYCLATE
(3S)-N-methyl-3-naphthalen-1-yloxy-3-thiophen-2-ylpropan-1-amine;hydrochloride	CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32.Cl	DULOXETINE HYDROCHLORIDE
sodium;2-propylpentanoate;2-propylpentanoic acid	CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]	DIVALPROEX SODIUM
9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one	C1CC(OC1CO)N2C=NC3=C2N=CNC3=O	DIDANOSINE
(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione	CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O	ERYTHROMYCIN
magnesium;5-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]benzimidazol-1-ide	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.[Mg+2]	ESOMEPRAZOLE MAGNESIUM
N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine;hydrochloride	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl	FLUOXETINE HYDROCHLORIDE
2-[[3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methylsulfinyl]-1H-benzimidazole	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F	LANSOPRAZOLE
6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]-1H-benzimidazole	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC	OMEPRAZOLE
sodium;2-[[4-(3-methoxypropoxy)-3-methylpyridin-2-yl]methylsulfinyl]benzimidazol-1-ide	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3[N-]2)OCCCOC.[Na+]	RABEPRAZOLE SODIUM
(E)-4-methoxy-4-oxobut-2-enoic acid	COC(=O)C=CC(=O)O	MONOMETHYL FUMARATE
5-amino-2-hydroxybenzoic acid	C1=CC(=C(C=C1N)C(=O)O)O	MESALAMINE
2-[(R)-[3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methylsulfinyl]-1H-benzimidazole	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F	DEXLANSOPRAZOLE
dimethyl (E)-but-2-enedioate	COC(=O)C=CC(=O)OC	DIMETHYL FUMARATE
strontium;5-methoxy-2-[(S)-(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]benzimidazol-1-ide;tetrahydrate	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.O.O.O.O.[Sr+2]	ESOMEPRAZOLE STRONTIUM
2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoate;2-hydroxyethyl(trimethyl)azanium	CC(C)(C(=O)[O-])OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl.C[N+](C)(C)CCO	CHOLINE FENOFIBRATE
acetic acid;(4R,7S,10S,13R,16S,19R)-10-(4-aminobutyl)-19-[[(2R)-2-amino-3-phenylpropanoyl]amino]-16-benzyl-N-[(2R,3R)-1,3-dihydroxybutan-2-yl]-7-[(1R)-1-hydroxyethyl]-13-(1H-indol-3-ylmethyl)-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentazacycloicosane-4-carboxamide	CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O.CC(=O)O	OCTREOTIDE ACETATE
magnesium;5-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]benzimidazol-1-ide	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.[Mg+2]	OMEPRAZOLE MAGNESIUM
2-aminoethanethiol;2,3-dihydroxybutanedioic acid	C(CS)N.C(C(C(=O)O)O)(C(=O)O)O	CYSTEAMINE BITARTRATE
2-propylpentanoic acid	CCCC(CCC)C(=O)O	VALPROIC ACID
4-O-[2-(2,5-dioxopyrrolidin-1-yl)ethyl] 1-O-methyl (E)-but-2-enedioate	COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O	DIROXIMEL FUMARATE
N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide	CC(=O)NC1=NN=C(S1)S(=O)(=O)N	ACETAZOLAMIDE
methyl 2-phenyl-2-piperidin-2-ylacetate;hydrochloride	COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl	METHYLPHENIDATE HYDROCHLORIDE
1,3-dimethyl-7H-purine-2,6-dione	CN1C2=C(C(=O)N(C1=O)C)NC=N2	THEOPHYLLINE
N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)propan-1-amine;hydrochloride	CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl	CYCLOBENZAPRINE HYDROCHLORIDE
1-cyclohexyl-1-phenyl-3-piperidin-1-ylpropan-1-ol;hydrochloride	C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl	TRIHEXYPHENIDYL HYDROCHLORIDE
(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone	CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC	TACROLIMUS
(4R,4aR,7S,7aR,12bS)-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7,9-diol	CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O	MORPHINE SULFATE
(2R,3R)-2,3-dihydroxybutanedioic acid;(2S,3S)-3,4-dimethyl-2-phenylmorpholine	CC1C(OCCN1C)C2=CC=CC=C2.C(C(C(=O)O)O)(C(=O)O)O	PHENDIMETRAZINE TARTRATE
benzo[b][1]benzazepine-11-carboxamide	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	CARBAMAZEPINE
5-O-[2-[benzyl(methyl)amino]ethyl] 3-O-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate;hydrochloride	CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC.Cl	NICARDIPINE HYDROCHLORIDE
[(2S,3S)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate;hydrochloride	CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl	DILTIAZEM HYDROCHLORIDE
1-(9H-carbazol-4-yloxy)-3-[2-(2-methoxyphenoxy)ethylamino]propan-2-ol;phosphoric acid;hydrate	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O.COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O.O.OP(=O)(O)O.OP(=O)(O)O	CARVEDILOL PHOSPHATE
(Z)-but-2-enedioic acid;3-(4-chlorophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O	CHLORPHENIRAMINE MALEATE
(Z)-but-2-enedioic acid;2-chloro-10-[3-(4-methylpiperazin-1-yl)propyl]phenothiazine	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O	PROCHLORPERAZINE MALEATE
(1R,2R)-2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexan-1-ol;hydrochloride	CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl	TRAMADOL HYDROCHLORIDE
(2R,3R)-2,3-dihydroxybutanedioic acid;2-[(1R)-3-[di(propan-2-yl)amino]-1-phenylpropyl]-4-methylphenol	CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(C(C(=O)O)O)(C(=O)O)O	TOLTERODINE TARTRATE
(2S)-1-phenylpropan-2-amine;sulfuric acid	CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O	DEXTROAMPHETAMINE SULFATE
methyl (2R)-2-phenyl-2-[(2R)-piperidin-2-yl]acetate;hydrochloride	COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl	DEXMETHYLPHENIDATE HYDROCHLORIDE
[(3S,3aS,6R,6aS)-3-nitrooxy-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-6-yl] nitrate	C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]	ISOSORBIDE DINITRATE
4-[di(propan-2-yl)amino]-2-phenyl-2-pyridin-2-ylbutanamide;phosphoric acid	CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C.OP(=O)(O)O	DISOPYRAMIDE PHOSPHATE
2-acetyloxybenzoic acid	CC(=O)OC1=CC=CC=C1C(=O)O	ASPIRIN
1-[2-(dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol;hydrochloride	CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O.Cl	VENLAFAXINE HYDROCHLORIDE
(1S,2R)-2-(aminomethyl)-N,N-diethyl-1-phenylcyclopropane-1-carboxamide;hydrochloride	CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2.Cl	LEVOMILNACIPRAN HYDROCHLORIDE
(Z)-but-2-enedioic acid;2-[(E)-[5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene]amino]oxyethanamine	COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F.C(=CC(=O)O)C(=O)O	FLUVOXAMINE MALEATE
